Cluster_Topic_Id,Count_Posts_Facebook,Count_Unique_User_Id_Facebook,Count_Posts_Instagram,Count_Unique_User_Id_Instagram,Count_Posts_YouTube,Count_Unique_User_Id_YouTube,Count_Posts_Twitter,Count_Unique_User_Id_Twitter,Count_Posts_Telegram,Count_Unique_User_Id_Telegram,Count_Unique_Cluster_User_Id,Count_Cluster_Posts
0,11,9,49,9,11,11,1209,45,2,2,76,1282
3,12,11,120,12,8,8,810,153,1,1,185,951
2,63,33,497,45,17,17,102,30,0,0,125,679
1,10,5,49,16,4,4,472,32,0,0,57,535
4,24,14,114,12,6,6,330,26,2,1,59,476
12,6,6,132,24,7,7,282,43,0,0,80,427
5,4,3,29,20,8,8,385,56,0,0,87,426
6,9,7,30,17,1,1,342,29,0,0,54,382
13,3,2,31,15,9,9,251,43,0,0,69,294
8,0,0,2,2,1,1,0,0,284,64,67,287
9,8,7,28,18,3,3,226,8,0,0,36,265
32,5,4,198,17,0,0,62,24,0,0,45,265
15,3,3,48,16,8,8,169,23,0,0,50,228
11,0,0,0,0,1,1,0,0,220,20,21,221
10,1,1,0,0,20,20,10,8,181,14,43,212
7,2,2,13,9,1,1,182,27,0,0,39,198
27,0,0,2,1,0,0,2,2,188,46,49,192
59,5,5,48,17,0,0,134,28,0,0,50,187
33,3,3,156,12,11,11,1,1,9,2,29,180
31,0,0,178,16,0,0,1,1,0,0,17,179
37,0,0,0,0,0,0,1,1,161,32,33,162
49,1,1,122,19,0,0,34,17,1,1,38,158
16,0,0,146,14,0,0,2,1,0,0,15,148
14,0,0,144,23,0,0,1,1,1,1,25,146
39,22,16,44,9,9,9,62,7,3,3,44,140
43,6,6,113,13,3,3,16,11,0,0,33,138
19,1,1,126,18,0,0,7,6,0,0,25,134
60,3,3,57,13,0,0,72,27,1,1,44,133
30,2,2,20,17,1,1,108,20,0,0,40,131
50,2,1,31,9,2,2,96,27,0,0,39,131
48,1,1,122,24,3,3,4,4,0,0,32,130
57,15,7,15,8,1,1,95,22,0,0,38,126
20,0,0,0,0,0,0,125,3,0,0,3,125
29,1,1,19,9,5,5,100,12,0,0,27,125
24,0,0,0,0,0,0,0,0,124,51,51,124
51,0,0,0,0,2,2,1,1,120,31,34,123
21,1,1,5,4,0,0,114,11,1,1,17,121
17,4,3,116,20,0,0,0,0,0,0,23,120
18,0,0,0,0,0,0,0,0,120,44,44,120
22,0,0,117,9,0,0,0,0,0,0,9,117
23,0,0,32,9,6,6,78,16,1,1,32,117
28,6,2,90,9,4,4,14,5,0,0,20,114
52,0,0,24,20,0,0,87,37,0,0,57,111
34,0,0,10,10,3,3,0,0,92,8,21,105
35,2,1,96,12,1,1,0,0,1,1,15,100
38,0,0,0,0,0,0,98,1,1,1,2,99
44,3,3,87,8,0,0,7,4,0,0,15,97
25,1,1,90,9,0,0,0,0,4,2,12,95
55,10,6,53,17,22,22,6,3,1,1,49,92
26,0,0,88,11,0,0,1,1,0,0,12,89
46,0,0,81,9,0,0,0,0,1,1,10,82
40,37,16,9,4,11,11,24,15,0,0,46,81
42,1,1,72,8,0,0,2,2,0,0,11,75
45,2,2,2,1,0,0,71,10,0,0,13,75
61,3,2,1,1,0,0,71,10,0,0,13,75
36,0,0,72,9,0,0,0,0,1,1,10,73
53,0,0,68,11,0,0,1,1,0,0,12,69
41,0,0,66,11,1,1,0,0,0,0,12,67
56,0,0,2,2,3,3,61,11,0,0,16,66
54,0,0,38,8,0,0,27,3,0,0,11,65
47,0,0,63,9,0,0,0,0,0,0,9,63
58,0,0,34,28,4,4,24,7,1,1,40,63
